"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03137V03789","Type of Cattle","C02196V04140","Region and County","UNIT","VALUE"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04133","Donegal","000 Head","18.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04134","Monaghan","000 Head","34.4"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE042","West","000 Head","55.8"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04225","Galway","000 Head","31.2"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04229","Mayo","000 Head","17.8"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE04230","Roscommon","000 Head","6.8"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05","Southern","000 Head","943.5"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE051","Mid-West","000 Head","286.6"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05116","Clare","000 Head","30.7"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05118","Limerick","000 Head","109.7"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05122","Tipperary","000 Head","146.3"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE052","South-East","000 Head","219.6"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05201","Carlow","000 Head","12.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05207","Kilkenny","000 Head","73.1"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05214","Wexford","000 Head","62.1"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05225","Waterford","000 Head","71.4"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE053","South-West","000 Head","437.4"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05316","Cork","000 Head","339.5"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE05319","Kerry","000 Head","97.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06","Eastern and Midland","000 Head","197.3"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE061","Dublin","000 Head","2.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06106","Dublin and Mid-East","000 Head","103.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06206","Kildare","000 Head","14"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06210","Louth","000 Head","14.3"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06211","Meath","000 Head","53.4"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06215","Wicklow","000 Head","19.3"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE063","Midland","000 Head","93.3"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06308","Laois","000 Head","35.5"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06309","Longford","000 Head","8.9"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06312","Offaly","000 Head","25.6"
"AAA10","Number of Cattle in June","2015","2015","02","Dairy cows","IE06313","Westmeath","000 Head","23.3"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","-","State","000 Head","1075.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04","Northern and Western","000 Head","419.5"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE041","Border","000 Head","177.6"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04128","Leitrim","000 Head","25.4"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04131","Sligo","000 Head","31.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04132","Cavan","000 Head","45.5"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04133","Donegal","000 Head","42"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04134","Monaghan","000 Head","32.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE042","West","000 Head","241.9"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04225","Galway","000 Head","105.3"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04229","Mayo","000 Head","79.4"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE04230","Roscommon","000 Head","57.2"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05","Southern","000 Head","420.6"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE051","Mid-West","000 Head","176.5"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05116","Clare","000 Head","73.7"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05118","Limerick","000 Head","39"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05122","Tipperary","000 Head","63.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE052","South-East","000 Head","115.3"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05201","Carlow","000 Head","17.3"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05207","Kilkenny","000 Head","37.6"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05214","Wexford","000 Head","35.5"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05225","Waterford","000 Head","24.9"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE053","South-West","000 Head","128.7"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05316","Cork","000 Head","82"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE05319","Kerry","000 Head","46.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06","Eastern and Midland","000 Head","235.8"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE061","Dublin","000 Head","4"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06106","Dublin and Mid-East","000 Head","99.3"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06206","Kildare","000 Head","21.2"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06210","Louth","000 Head","12.1"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06211","Meath","000 Head","39.1"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06215","Wicklow","000 Head","23"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE063","Midland","000 Head","136.5"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06308","Laois","000 Head","34.1"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06309","Longford","000 Head","26.9"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06312","Offaly","000 Head","33.6"
"AAA10","Number of Cattle in June","2015","2015","03","Other cows","IE06313","Westmeath","000 Head","41.9"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","-","State","000 Head","55.7"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04","Northern and Western","000 Head","18.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE041","Border","000 Head","8.5"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04128","Leitrim","000 Head","1.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04131","Sligo","000 Head","1.1"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04132","Cavan","000 Head","2.3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04133","Donegal","000 Head","2"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04134","Monaghan","000 Head","1.9"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE042","West","000 Head","9.6"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04225","Galway","000 Head","4.3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04229","Mayo","000 Head","3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE04230","Roscommon","000 Head","2.3"
"AAA10","Number of Cattle in June","2015","2015","04","Bulls","IE05","Southern","000 Head","27"
